<Name>,Layer1Thick,<porosity1>,<permX1>,<permY1>,AnisotropyRatio1   (X/Z),<permZ1>,Layer2Thick,<porosity2>,<permX2>,<permY2>,anisotropyRatio2   (X/Z),<permZ2>,<DomainDepth>,<zInBetweenLayers>,<AquiferLen>,<boundaryWaterTable>,<desiredTimeStep>,dX,<CellRatioX>,<nX>,dY,<CellRatioY>,<nY>,dZ,<CellRatioZ>,<nZ>,DistanceTo Contamination,<setbackDist>,Diameter LeakingPipe,<setbackPlusLeak>,<leakingYNorth>,<leakingYSouth>,LeakingFlow,<rateLeaking>,<rateExtraction>,<wellZTop>,<wellZBottom>,<wellXY>,wellDiameter,extractionFlux,<observationAtWell>,<obsTimeStep>,<warmUpTime>,Concentration,<initialConcentration>,<katt>,<kdet>,<decayAq>,<decayIm>
GravelOnSand_Public,10,0.3,1E-08,1E-08,10,1E-09,30,0.35,1E-10,1E-10,10,1E-11,40,30,800,39,8000,6.08553307234793,0.3,40,6.08553307234793,0.3,40,0.608553307234793,0.75,30,200,600,1,601,267,533,1.363,0.004471784776903,2725.5,35,2,400,0.4,0.000760691634043,18.5,12,2,6022,1E-20,0,0,0,0
SandOnGravel_Public,30,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,40,10,800,39,8000,6.08553307234793,0.3,40,6.08553307234793,0.3,40,0.608553307234793,0.75,30,200,600,1,601,267,533,1.363,0.004471784776903,2725.5,35,2,400,0.4,0.000760691634043,18.5,12,2,6022,1E-20,0,0,0,0
Gravel_Public,20,0.35,1E-08,1E-08,10,1E-09,20,0.3,1E-08,1E-08,10,1E-09,40,20,800,39,8000,6.08553307234793,0.3,40,6.08553307234793,0.3,40,0.608553307234793,0.75,30,200,600,1,601,267,533,1.363,0.004471784776903,2725.5,35,2,400,0.4,0.000760691634043,18.5,12,2,6022,1E-20,0,0,0,0
CoarseSand_Public,20,0.35,1E-10,1E-10,10,1E-11,20,0.3,1E-10,1E-10,10,1E-11,40,20,800,39,8000,6.08553307234793,0.3,40,6.08553307234793,0.3,40,0.608553307234793,0.75,30,200,600,1,601,267,533,1.363,0.004471784776903,2725.5,35,2,400,0.4,0.000760691634043,18.5,12,2,6022,1E-20,0,0,0,0
Low_Public,20,0.35,1E-11,1E-11,10,1E-12,20,0.35,1E-11,1E-11,10,1E-12,40,20,800,39,8000,6.08553307234793,0.3,40,6.08553307234793,0.3,40,0.608553307234793,0.75,30,200,600,1,601,267,533,1.363,0.004471784776903,2725.5,35,2,400,0.4,0.000760691634043,18.5,12,2,6022,9.99976503375087E-21,0,0,0,0
GravelOnSand_Domestic,10,0.3,1E-08,1E-08,10,1E-09,10,0.35,1E-10,1E-10,10,1E-11,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,0,0
SandOnGravel_Domestic,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,0,0
Gravel_Domestic,10,0.3,1E-08,1E-08,10,1E-09,10,0.35,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,0,0
CoarseSand_Domestic,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-10,1E-10,10,1E-11,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,0,0
Low_Domestic,10,0.35,1E-12,1E-12,10,1E-13,10,0.35,1E-12,1E-12,10,1E-13,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,0,0
