Time,Concentration
.0000,.0000
.0500,.0000
.1000,.0000
.1500,.0000
.2000,.0000
.2500,.0000
.3000,.0000
.3500,.0000
.4000,.0000
.4500,.0000
.5000,.0000
.5500,.0000
.6000,.0000
.6500,.0000
.7000,.0000
.7500,.0000
.8000,.0000
.8500,.0000
.9000,.0000
.9500,.0002
1.0000,.5056
1.0500,.9997
1.1000,1.0000
1.1500,1.0000
1.2000,1.0000
1.2500,1.0000
1.3000,1.0000
1.3500,1.0000
1.4000,1.0000
1.4500,1.0000
1.5000,1.0000
1.5500,1.0000
1.6000,1.0000
1.6500,1.0000
1.7000,1.0000
1.7500,1.0000
1.8000,1.0000
1.8500,1.0000
1.9000,1.0000
1.9500,1.0000
2.0000,1.0000
2.0500,1.0000
2.1000,1.0000
2.1500,1.0000
2.2000,1.0000
2.2500,1.0000
2.3000,1.0000
2.3500,1.0000
2.4000,1.0000
2.4500,1.0000
2.5000,1.0000
2.5500,1.0000
2.6000,1.0000
2.6500,1.0000
2.7000,1.0000
2.7500,1.0000
2.8000,1.0000
2.8500,1.0000
2.9000,1.0000
2.9500,.9998
3.0000,.4944
3.0500,.0003
3.1000,.0000
3.1500,.0000
3.2000,.0000
3.2500,.0000
3.3000,.0000
3.3500,.0000
3.4000,.0000
3.4500,.0000
3.5000,.0000
3.5500,.0000
3.6000,.0000
3.6500,.0000
3.7000,.0000
3.7500,.0000
3.8000,.0000
3.8500,.0000
3.9000,.0000
3.9500,.0000
4.0000,.0000
4.0500,.0000
4.1000,.0000
4.1500,.0000
4.2000,.0000
4.2500,.0000
4.3000,.0000
4.3500,.0000
4.4000,.0000
4.4500,.0000
4.5000,.0000
4.5500,.0000
4.6000,.0000
4.6500,.0000
4.7000,.0000
4.7500,.0000
4.8000,.0000
4.8500,.0000
4.9000,.0000
4.9500,.0000
5.0000,.0000
5.0500,.0000
5.1000,.0000
5.1500,.0000
5.2000,.0000
5.2500,.0000
5.3000,.0000
5.3500,.0000
5.4000,.0000
5.4500,.0000
5.5000,.0000
5.5500,.0000
5.6000,.0000
5.6500,.0000
5.7000,.0000
5.7500,.0000
5.8000,.0000
5.8500,.0000
5.9000,.0000
5.9500,.0000
